DEALERSHIP NAME,S,W,Status,ADDRESS,CITY,ZIP CODE,DEALER #,DATE ADDED,COMMENTS
AUTONATIONDIRECT,,X,W,2888 C Harbor Blvd.,Costa Mesa,92626,43942,2/18/14,Dealer is not completing DMV paperwork timely; Dealer must complete DMV paperwork at DMV and then 4 to 10 days must pass before funding for G1 to confirm change through DMV. 
Buena Park Nissan,,X,W,6501 Auto Center Drive,Buena Park,90621,,8/22/17,Thorough verification of all application data and employment verification required
"Cabral Chrysler, Jeep, Dodge, Ram",,X,W,1145 W Yosemite Avenue,Manteca,95337,,1/1/11,Thorough verification of vehicle options and income required
California Motor Sports,,X,W,8351 Rochester Ave St. 104,Rancho Cucamonga,91730,38519,,MUST BRING TITLE TO ANY G1 BEFORE FUNDING. DEALER MUST SUBMIT LETTER TO DEALER REVIEW COMMITTEE 8945 CAL CENTER DRIVE.
"CAMEX Auto Sales, Inc.",X,,S,6151/2 24th Street,Los Angeles,90011,94095,8/2/19,Wholesale dealership. No loans. 323-842-2123
Carlypso,X,,S,All Locations,,,,4/20/16,Out of Business; Vehicle verification report and guaranty of title required
Cars Dawydiak,,X,W,1540 Pine Street,San Francisco,94109,25155,5/15/14,Dealer is not completing DMV paperwork timely; Dealer must complete DMV paperwork at DMV and then 4 to 10 days must pass before funding for G1 to confirm change through DMV. 
Cars of Clovis,X,,S,1308 Clovis Avenue,Clovis,93612,43722,,
Certified Center,X,,S,3250 Fulton Avenue,Sacramento,95821,61244,,out of business
Clovis Auto Center Inc,X,,S,1016 Barstow Clovis,Clovis,93612,62354,8/22/07,filed on bond/no ttl/dlr out of business
Creditmax Automotive of Sacramento,X,,S,3801 Florin Road,Sacramento,95823,49689,5/21/14,Dealership closed
Cruise America,,X,W,5633 John Muir Drive,Newark,94560,10488,4/7/15,"Non-Franchised Dealer; must bring original title and DMV paperwork to branch so it can be verified, or DMV paperwork must be completed at DMV and then 4 to 10 days must pass before funding for G1 to confirm change through DMV."
Del Valle Auto Sales,,X,W,739 Imperial Avenue,Calexico,92231,60329,,Verify all information on loan application prior to disbursing loan
Destinations Mobility,,X,W,2501 Florin Road,Sacramento,95822,49779,12/4/14,Broker selling new vehicles.  Dealer must complete DMV paperwork at DMV and then 4 to 10 days must pass before funding for G1 to confirm change through DMV. 
Diamond Autosport,X,,S,912 Enterprise Drive,Sacramento,95824,82614,2/7/13,Dealership closed
Dibwani Motors,X,,S,"225 Salinas Road 
(831) 728-0481 or (831) 325-3400",Watsonville,,48336,11/14/12,
DLP Financial,X,,S,3646 Telstar Pl Lot B,Stockton,95212,84804,9/7/17,No Loans - Dealer's License Expired
Drive Sac,,X,W,"3813 Florin Rd, Ste. 101",Sacramento,95823,49557,4/30/18,DMV paperwork must be completed at DMV and then 4 to 10 days must pass before funding for G1 to confirm change through DMV. 
Drive Time CA916 LLC,,X,W,"3812 Florin Rd, Ste. 101",Sacramento,95823,49557,4/30/18,DMV paperwork must be completed at DMV and then 4 to 10 days must pass before funding for G1 to confirm change through DMV. 
E Cars,X,,S,2400 Fulton Ave Suite 4,Sacramento,95825,,1/19/18,No Loans
El Vista Auto Sales,X,,S,"2201 Yosemite Blvd. 
(209) 526-2221",Modesto,95354,68327,11/14/12,
Enigma Motors,X,,S,6351 Dublin Blvd,Dublin,94568,65077,,filed on bond
Felix Chevrolet,X,,S,"3330 S Figueroa Street
(213)748-6141",Los Angeles,90007,909,12/18/15,
Finance Auto Group,X,,S,1304 Crowes Landing Road,Modesto,95351,88233,2/17/17,NO LOANS - Dealership closed
Fresno Auto Deal,X,,S,6353 N Blackstone Ave,Fresno,93710,91934,8/7/17,NO LOANS - Criminal Charges
Fresno Auto Traders,X,,S,2627 Blackstone Ave.,Sacramento,93703,43208,8/15/17,No Loans - Dealer not completing DMV paperwork.  Will not return calls.
Friendly Wholesalers of California DBA SeeMoCars,X,,S,16725 Condit Road,Morgan Hill,95037,97967,9/5/17,"Dealer is out of trust with their commercial lender.  Commercial Lending requesting all loan proceeds go to them, so we will no longer fund loans for vehicles purchased through this dealership. "
Fulton Auto Mall,,X,W,3501 Fulton Avenue,Sacramento,95821,59740,,owner Amin Maadarani.  DEALER MUST SUBMIT LETTER TO DEALER REVIEW COMMITTEE 8945 CAL CENTER DRIVE. 
"Generation Motors, Inc.",X,,S,3737 McHenry Avenue,Modesto,95356,,3/13/08,CUDL dealer no loans
Glendale Infiniti,,X,W,812 S Brand Blvd,Glendale,91204,,10/21/16,Thoroughly verify all vehicle equipment; Lending Sup or Mgr review required
Glendale Nissan,,X,W,727 S Brand Blvd,Glendale,91204,,10/21/16,Thoroughly verify all vehicle equipment;Lending Sup or Mgr review required
Golden Auto Sales,X,,S,"7608 Folsom Blvd Ste 104
(916) 222-7482",Sacramento,95826,82515,12/4/14,Dealer is not completing DMV paperwork and DMV Occupational License Status Information shows the dealer's license expired 4/09/14.
Golden State Trading,X,,S,,,,,,
Green Light Auto Sales,X,,S,2015 Marconi Avenue,Sacramento,,,,
Greiner Pontiac Buick,,X,W,14555 Civic Drive,Victorville,92394,,10/1/10,Thoroughly verify all vehicle equipment; Lending Sup or Mgr review required
Guaranteed Approved Auto Sales,X,,S,"3565 Florin Road 
(916) 429-2989",Sacramento,,83177,4/18/13,Dealership closed
Harbor Motors ,X,,S,2640  Harbor Blvd.,Costa Mesa,95626,65772,8/1/07,filed on bond/no ttl/dlr out of business
Herb's Garage II,,X,W,242 Victoria Street,Costa Mesa,92627,10624,4/21/15,DMV paperwork must be completed at DMV and then 4 to 10 days must pass before funding for G1 to confirm change through DMV. 
Hilmar Auto Depot,,X,W,8451 Lander Avenue,Hilmar,95325,,3/1/11,Straw purchase
Holland Auto Sales,X,,S,All dealers with this name- Contact Vehicle Services with questions,,,,,
Hooman Chrysler Dodge Jepp Ram,X,,S,"5750 Mesmer Ave., Suite B",Culver City,90230,,3/9/20,NO LOANS
Hooman Hyundai,X,,S,"5750 Mesmer Ave., Suite C",Culver City,90230,,3/9/20,NO LOANS
Hooman Nissan of Long Beach,X,,S,1800 E. Spring St.,Long Beach,90755,,3/9/20,NO LOANS
Hooman Pontiac GMC Buick,X,,S,6101 W. Slauson Ave.,Culver City,90230,,3/9/20,NO LOANS
Hooman Scion of Long Beach,X,,S,4401 Pacific Coast Hwy,Long Beach,90804,,3/9/20,NO LOANS
Hooman Toyota of Long Beach,X,,S,3399 E. Willow St.,Long Beach,90806,,3/9/20,NO LOANS
Hyundai of Petaluma,X,,S,1230 Auto Center Drive,Petaluma,94952,89492,8/5/19,Dealership closed; 707-787-5535
ICARZ,X,,S,3215 Fulton Ave,Sacramento,95821,46732,5/22/20,No Loans - License is expired and phone is disconnected.
iMotor Co.,X,,S,(916) 243-5277 - No address on website,,,,3/12/13,
"Infiniti, Volkswagon of Fairfield",,X,W,"2855 Automall Parkway 
(707) 402-7100",Fairfiled,94533,68430,9/30/14,DMV paperwork must be completed at DMV and then 4 to 10 days must pass before funding for G1 to confirm change through DMV. 
Inland Valley Auto LLC,X,,S,1920 West 11th Street #B,Upland,91786,30987,10/19/12,Sold auto without clear title; we have not gained a security interest in the collateral for our loan
Integrity Auto Sales,,X,W,3655 Florin Road,Sacramento,95823,,9/25/15,Vehicle verification report required; Lending Sup or Mgr review required
Jackson Ford,X,,S,11400 Highway 49,Martell,95654,9302,,Out of business
Jeffic Auto & Parts,X,,S,,,,47609,,
Jeffic Auto Sales,X,,S,,,,47609,,
"Jim's Auto Sales, Inc.",X,,S,9135 Sierra Avenue,Fontana,92335,20604,2/7/12,
"Jim's Auto Sales, Inc.",X,,S,825 West Pacific Coast Highway,Harbor City,90710,20604,2/7/12,
"Jim's Auto Sales, Inc.",X,,S,2002 Pacific Coast Highway,Lomita,90717,20604,2/7/12,
JS Auto Sales,X,,S,"7998 Monterey Road, Suite A",Gilroy,95020,84804,6/30/17,Dealership closed
JZ Auto Sales Inc.,X,,S,575 W. Grantline Road,Tracy,,48360,,
Kia of Downtown,,X,W,1945 S Figueroa Street,Los Angeles,90007,,10/21/16,Thorough verification of vehicle options required; Lending Sup or Mgr review required
King Auto Sales,X,,S,2425 Arden Way #D,Sacramento,95825,69447,11/14/13,"Dealer is out of trust with their commercial lender; Commercial lender is requesting all proceeds go to them, so we will no longer fund loans for vehicles purchased through this dealership. "
King Automotive,,X,W,3524 McHenry Avenue and ,Modesto,95356,85427,11/17/14,Dealer having members purchase with cash and then finance vehicle; DMV paperwork must be completed at DMV and then 4 to 10 days must pass before funding for G1 to confirm change through DMV. 
King Automotive,,X,W,"830 Kansas Avenue, Ste. B.",Modesto,95351,85427,11/18/14,Dealer having members purchase with cash and then finance vehicle; DMV paperwork must be completed at DMV and then 4 to 10 days must pass before funding for G1 to confirm change through DMV. 
King of Kars,X,,S,618 Fulton Street,Fresno,93721,85760,6/29/15,Dealer out of business effective 6-4-2015
Legend Auto Sales,,X,W,2100 Fulton Avenue,Sacramento,95825,34370,8/5/21,"Suspension lifted with the following conditions for funding: 
We will only fund for existing members with 90 days or more membership tenure. 
Proof of perfected title showing Golden 1 as lienholder required prior to funding."
Los Hermanos Auto Plaza,X,,S,3409 Fulton Avenue,Sacramento,95821,61244,,out of business
Lotus of Upland,X,,S,"1018 East 20th Street 
(909) 982-4389",Upland,91784,311842,5/3/21,No Loans. Dealer not perfecting titles.
Luxano Motors,X,,S,"3324 Fulton Avenue
(916) 370-0000",Sacramento,,48671,11/14/12,Possibly flooring vehicles; no business license currently on file with DMV.  
Maadarani Auto Sales,X,,S,2808 X Street B,Sacramento,95812,32332,,no title/fraud
Madera Ford (Silva Ford),X,,S,200 S Madera Avenue,Madera,93637,,1/1/13,Thorough verification of vehicle options required; Lending Sup or Mgr review required
Mahdi US,X,,S,13490 Central Avenue,Chino,91710,,,
Mahdi US LLC,,X,W,721 North B Street,Sacramento,95811,,,
Major Motorcars,,X,W,2932 California State Route 2,Santa Monica,90404,,7/15/15,Vehicle verification report required; Lending Sup or Mgr review required
MBA Auto Remarketing,X,,S,13490 Central Avenue,Chino,91710,90914,,
MBA Auto Sales,X,,S,13490 Central Avenue,Chino,91710,,,
Mercedes Benz of Valencia,,X,W,23355 Valencia Blvd,Santa Clarita,91355,,10/21/16,Thorough verification of vehicle options required; Lending Sup or Mgr review required
Mid State Motors,,X,W,2000 Ramona Road,Atascadero,93422,22525,5/24/07,Dealership perfected title. DEALER MUST SUBMIT LETTER TO DEALER REVIEW COMMITTEE 8945 CAL CENTER DRIVE. 
Mike Daugherty Auto Sales,X,,S,9501 East Stockton Blvd,Elk Grove,,00021,8/14/13,Dealership Closed
Mobility Works,,X,W,All locations,,,66281,11/13/14,"Dealer must complete paperwork through DMV, and we must confirm Golden 1 has been recorded as lienholder prior to funding; contact Vehicle Services to verify."
Moda Auto Lounge,X,,S,5947 Dougherty Road,Dublin,94568,45882,1/18/13,
Momentum - All Dealerships,X,,S,Multiple Locations,,,,11/21/18,"No loans. Dealership Closed.  Multiple locations throughout the bay area (i.e. San Jose, Vallejo, Fairfield, etc.)."
Montecito Motors,X,,S,530 Chapala Street,Santa Barbara,93101,,,
Montecito Motors,X,,S,427 Rose Avenue,Santa Barbara,93101,,,
Mossy Nissan/Escondido,,X,W,1546 Auto Park Way,Escondido,92029,,4/1/15,Thorough verification of all application data required; Lending Sup or Mgr review required
My Three Sons Auto Sales,,X,W,3805 Florin Rd. Ste. 1000,Sacramento,95823,46743,6/30/14,Dealer is not completing DMV paperwork; Dealer must complete DMV paperwork at DMV and then 4 to 10 days must pass before funding for G1 to confirm change through DMV. 
Newell Auto Group,X,,S,3925 Alhambra Ave.,Martinez,94553,45836,2/3/17,No Loans - Dealership Closed.
Newman Auto Plaza,X,,S,1303 N Street,Newman,95360,51489,,No Loans - Dealership Closed.
Nissan of Bakersfield,X,,S,2800 Pacheco Rd,Bakersfield,93313,54304,,
Nissan of Long Beach,X,,S,1800 East Spring St,Signal Hill,90755,91793,8/16/19,No Loans - Dealership Closed.
Nissan of Stockton,X ,,W,3077 E Hammer Ln. ,Stockton,95212,313612,7/26/24,Pending legal cases
Nissani Bros Acura,X,,S,5750 Mesmer Ave. Suite D,Culver City,90230,88873,3/9/20,NO LOANS
Nissani Bros Chevrolet,X,,S,5750 Mesmer Ave. Suite B,Culver City,90230,93296,3/9/20,NO LOANS
Nissani Bros Chevrolet,X,,S,6101 W. Slauson Ave.,Culver City,90230,89370,3/9/20,NO LOANS
Nissani Bros Chrysler Dodge Jeep Ram,X,,S,5750 Mesmer Ave. Suite B,Culver City,90230,93296,3/9/20,NO LOANS
Nissani Bros Hyundai,X,,S,5750 Mesmer Ave. Suite C,Culver City,90230,93366,3/9/20,NO LOANS
Nissani Bros Nissan,X,,S,5750 Mesmer Ave. Suite A,Culver City,90230,93363,3/9/20,NO LOANS
North Bay Auto Inc,X,,S,1155 Portola Ave,Livermore,94551,87892,3/8/18,"NO LOANS - Dealer did not SMOG vehicle and refuses to do so now.  Complaint filed on bond and with DMV. Location out of business, License expired, phones disconnected. "
North Bay Auto Inc,X,,S,2771 N Main Street,Walnut Creek,94597,87892,3/22/18,"NO LOANS - Dealer did not SMOG vehicle and refuses to do so now.  Complaint filed on bond and with DMV. Location out of business, License expired, phones disconnected. "
One Stop Auto Sales,X,,S,11161 Pierce Street,Riverside,92505,83241,8/7/17,No Loans - Dealership Closed.
One Stop Auto Sales,,X,W,16157 Valley Blvd.,Fontana,92335,83241,2/5/14,DMV paperwork must be completed at DMV and then 4 to 10 days must pass before funding for G1 to confirm change through DMV.  Call Vehicle Services.
Outboard Center,,X,W,5280 Caterpillar Road,Redding,96003,00807,4/9/14,Dealer not completing paperwork on time or giving paperwork to members to complete through DMV.  DMV paperwork must be completed at DMV and then 4 to 10 days must pass before funding for G1 to confirm change through DMV. Call Vehicle Services.
Own A Car,,X,W,"5788 Blackstone Avenue 
(559-435-3600)",Fresno,93710,58549,3/24/17,Dealer not completing paperwork in a timely manner.  DMV paperwork must be completed at DMV and then 4 to 10 days must pass before funding for G1 to confirm change through DMV. Call Vehicle Services.
Own-A-Car,X,,S,"727 McHenry Avenue 
(209) 544-2600",Modesto,,,11/14/12,
Parientes Auto Sales,X,,S,2204 Oakmont Street,Sacramento,95815,90781,11/3/17,NO LOANS – dealer License expired Filed DMV complaint and on dealers bond.
Paul Blanco (All Dealerships),X,,S,All locations,,,,1/25/18,No Loans for any dealership at any location owned by Paul Blanco
Paycheck Auto,X,,S,1911 North Broadway,Santa Maria,93458,66697,,out of business
Payless Car Sales,X,,S,3249 Fulton Avenue,Sacramento,95821,61244,,out of business
Payless Car Sales of Woodland,,X,W,317 W Main Street,Woodland,95695,69448,,Member Interview required
Pearson Buick FMC,X,,S,1176 W El Camino Real,Sunnyvale,94087,13142,8/5/19,Dealership Closed; 408-736-3411
Peninsula Infiniti,,X,W,386 Convention Way,Redwood City,94063,,12/1/09,Thorough verification of vehicle options required
Piasano Auto,,X,W,1503 Yosemite Blvd.,Modesto,95354,50170,,Title perfecting issues.  Dealer must bring title to G1 before funding.
Pinnacle Motors,X,,S,2529 Arden Way,Sacramento,95825,,11/3/17,No Loans
Platinum Motors,,X,W,5670 Stockton Blvd.,Sacramento,95824,84108,3/16/15,Dealer is not completing DMV paperwork timely and not returning calls; Dealer must complete DMV paperwork at DMV and then 4 to 10 days must pass before funding for G1 to confirm change through DMV. 
Puente Hills Nissan,,X,W,17320 Gale Ave,City of Industry,91748,,1/25/18,Member interview and proof of income required on all applications
Ramirez Auto Sales,,X,W,11923 Cedar Avenue,Bloomington,92316,45773,2/20/14,Dealer is not completing DMV paperwork timely and not returning calls; Dealer must complete DMV paperwork at DMV and then 4 to 10 days must pass before funding for G1 to confirm change through DMV. 
Rams Turbo Auto Sales,X,,S,2400 Fulton Ave Suite 4,Sacramento,95825,96465,,No Loans - Dealership closed. 
Rasool Auto Sales,X,,S,2529 El Camino Ave #102,Sacramento,95821,,1/19/18,No Loans
Red Bluff Ford,X,,S,2950 Main Street,Red Bluff,96080,,,
Redding Auto & Truck Sales,S,,W,2380 Buena Venture Blvd.,Redding,96001,311049,2/12/16,No Loans. This dealership is out of business.
Redlands Auto Plaza,,X,W,500 W Redlands Blvd,Redlands,92373,,2/1/10,Thorough verification of all application data required
Riverside Premier Motors,X,,S,247 W. La Cadena Drive,Riverside,92501,41851,,
Rolling Motors,,X,W,10 Rollins Road Ste. 212B,Millbrae,94030,49111,1/13/14,Dealer is not completing DMV paperwork; Dealer must complete DMV paperwork at DMV and then 4 to 10 days must pass before funding for G1 to confirm change through DMV. 
Ron Baker Chevrolet,,X,W,2301 National City Blvd,National City,91950,,1/25/18,Member interview and proof of income required on all applications
"Russell Westbrook Chrysler, Dodge, Jeep, Ram",X,,S,6110 Van Nuys Blvd,Van Nuys,91401,91133,8/5/21,
Sac Town Motors,X,,S,"2791 Fruitridge, Rd STE A",Sacramento,95815,10064527,9/14/18,NO LOANS - Dealership closed.
Sacramento Auto Sales Center INC,X,,S,"1011 Drever Street  
(916) 372-7767",West Sacramento,95691,80946,3/22/18,Dealer's license is expired.  Filed on dealer bond and DMV complaint.
"Sacramento Van Conversions, Inc.",,X,W,5821 Florin Road,Sacramento,95828,59788,4/2/15,Dealer is not completing DMV paperwork; Dealer must complete DMV paperwork at DMV and then 4 to 10 days must pass before funding for G1 to confirm change through DMV. 
Sage Covina Chevrolet,,X,W,635 S Citrus Avenue,Covina,91723,,10/21/16,Thorough verification of vehicle options and application data required; Lending Sup or Mgr review required
Sage Hyundai,,X,W,200 N Vermont Avenue,Los Angeles,90004,,10/21/16,Thorough verification of vehicle options and application data required; Lending Sup or Mgr review required
SD Motorwerks,X,,S,"8990 Miramar Road
Ste. 170",San Diego,92126,312378,5/4/23,Outstanding title issues.
SeeMoCars / Owner: Friendly Wholesalers of California,X,,S,16725 Condit Road,Morgan Hill,95037,87967,9/5/17,"Dealer is out of trust with their commercial lender.  Commercial Lending requesting all loan proceeds go to them, so we will no longer fund loans for vehicles purchased through this dealership. "
Senator Ford,X,,S,3801 Florin Road,Sacramento,95823,00150,,GOING out of business
Serramonte Volkswagen,,X,W,711 Serramonte Blvd,Colma,94014,,,Straw purchase; Thorough identification of all applicants and income required
Shaws Auto Sales,,X,W,10692 Highway 41,Madera,93636,68377,,DMV paperwork must be completed at DMV and then 4 to 10 days must pass before funding for G1 to confirm change through DMV. 
Shift,X,,S,85 Auto Center Dr,Pamona,91766,91663,11/29/23,"Shift Operations, LLC. Online Retailer and Physical Dealerships. Dealer filed Bankruptcy and is closing."
Shift,X,,S,2000 Maritime St. #100,Oakland,94607,91663,11/29/23,"Shift Operations, LLC. Online Retailer and Physical Dealerships. Dealer filed Bankruptcy and is closing."
Sierra Auto Center AKA Moreno Enterprises,,X,W,"4175 N Blackstone 
(559) 285-2274",Fresno,93726,64056,11/29/13,DMV paperwork must be completed at DMV and then 4 to 10 days must pass before funding for G1 to confirm change through DMV. 
Smith Volvo Inc. ,X,,S,1219 Monterey Street (888) 489-8320,San Luis Obispo,93401,316167,12/27/22,Potential association with Tranquillity Chevrolet who has been suspended due to unperfected titles and collateral loans. 
Sonrisa Auto Sales,,X,W,1251 E Mission Blvd.,Pomona,91766,81860,4/28/15,DMV paperwork must be completed at DMV and then 4 to 10 days must pass before funding for G1 to confirm change through DMV. 
Sunnyvale Motorcars,X,,S,681 E El Camino Real,Sunnyvale,94087,12700,12/14/12,
Sunrise Auto Source,,X,W,3805 Florin Rd. Ste. 1011,Sacramento,95823,47243,7/15/15,Call Vehicle Services.  DMV paperwork must be completed at DMV and then 4 to 10 days must pass before funding for G1 to confirm change through DMV. 
Super Shopper,X,,S,683 East Walker Street,Orland,94087,64027,11/14/12,
Superior Motor Sales Inc,X,,S,788 E Holt Avenue,Pomona,91767,,,
Suzuki of Sacramento,X,,S,2171 Fulton Avenue,Sacramento,95825,61244,,out of business
Taylor and Chase Auto Sales,X,,S,1321 Bogue Road,Yuba City,95993,26536,,out of business
The Car Depot,X,,S,61 W 16th Street,Merced,95340,40506,,
The Car Lot,X,,S,301 N Main Street,Salinas,93901,43695,10/29/20,Dealership Closed; 831-424-3600
Three Bridges Auto Sales,,X,W,10021 Fair Oaks Blvd,Fair Oaks,95628,,7/1/15,Income verification required on all applications regardless of tier; Vehicle verification report; Lending Sup or Mgr review required
Temecula Nissan,,X,W,41895 Motor Car Pkwy. ,Temecula,92591,310735,5/16/24,"Income verification required on all applications, regarldess of tier; dealersip has excessive chargeoffs. Lending Sup or Mgr approval required. "
Tootles Auto Sales,X,,S,"2544 Albatross Way 
(916) 595-5630",Sacramento,95815,92063,2/13/18,
Toyota of El Cajon,,X,W,965 Arnele Avenue,El Cajon,92020,,8/22/17,Thorough verification of application data and employment verification required
Trademark Auto Center,,X,W,204 N Abby Avenue,Fresno,95701,48559,2/5/14,DMV paperwork must be completed at DMV and then 4 to 10 days must pass before funding for G1 to confirm change through DMV. Call Vehicle Services.
Triple SSS Auto Sales,X,,S,301 El Camino Avenue,Sacramento,95815,68898,,DO NOT DO ANY LOANS
Tranquillity Chevrolet (866) 219-7206,X,,S,5790 Anthony,Tranquillity,93668,312793,12/27/22,"Dealership closed and has 5 unperfected collateral loans totaling $1119,963.11 from 6/11/2020-6/4/2022. Point of contact is no longer answering calls to work with Golden 1. "
U First Auto,X,,S,,,,,,CONTACT FRAUD MANAGEMENT IMMEDIATELY
United Auto Inc.,X,,S,4414 N Blackstone,Fresno,93726,,6/20/17,NO LOANS.
Universal City Nissan,,X,W,3550 Cahuenga Blvd West,Los Angeles,90068,,10/21/16,"Thorough verification of vehicle options, back end products, and loan terms required; Lending Sup or Mgr review required"
US Auto Sales,X,,S,442 N Airport Way,Stockton,,59179,6/11/07,filed on bond/no ttl/dlr out of business
