"Code","Error Text","Action"
820,"SYSTEM UNAVAILABLE  PLEASE TRY LATER","R"
821,"INQUIRY FORMAT ERROR","C"
822,"INVALID SECURITY PASSWORD","C"
823,"INVALID OPTIN1- KEYWORD","C"
824,"INVALID OPTIN2- KEYWORD","C"
825,"CUSTOM STRATEGIST CONFLICT FOR KEYWORD SSI-, RM-, M-","C"
827,"MODEL REQUIRES VERIFY-RM KEYWORD","C"
828,"A CREDIT DECISION CANNOT BE MADE BECAUSE THE PRIMARY BORROWER HAS BLOCKED ACCESS TO THE CREDIT PROFILE INFORMATION PURSUANT TO CA SB168","R"
829,"A CREDIT DECISION CANNOT BE MADE BECAUSE THE SECONDARY BORROWER HAS BLOCKED ACCESS TO THE CREDIT PROFILE INFORMATION PURSUANT TO CA SB168","R"
851,"PINID- KEYWORD ERROR","C"
856,"INVALID LENGTH FOR CONSUMER SERVICES  INQUIRY HAS AN INCORRECT LENGTH","C"
860,"RESOURCE NOT AVAILABLE, PLEASE RE-ENTER INQUIRY","C"
901,"INSUFFICIENT DATA SUPPLIED","C"
902,"DUPLICATE KEYWORDS ENTERED","C"
903,"INVALID DATA FOR K- KEYWORD","C"
904,"INVALID DATA FOR R- KEYWORD","C"
905,"INVALID DATA FOR O- KEYWORD","C"
925,"MSG- MAXIMUM LENGTH IS 68 CHARACTERS","C"
926,"MSG- MINIMUM LENGTH IS 7 CHARACTERS","C"
928,"MSG- MAXIMUM 20 CHARS IF NO NAME","C"
929,"MSG- REQUIRES SSN TO BE ENTERED","C"
930,"MSG- TELEPHONE NUMBER LENGTH INCORRECT","C"
931,"MSG- ONLY NAME MAY FOLLOW TELEPHONE NUM","C"
935,"MSG- TELEPHONE NUMBER INVALID","C"
936,"INQUIRY TYPE / SUBCODE CONFLICT","C"
944,"MORE THAN 20 SOCIALS  DETECTED","C"
945,"ORIGINAL CREDITOR EXCEEDS 30 CHARACTERS","C"
946,"ORIGINAL CREDITOR REQUIRED FOR COLLECTION AGENCIES","C"
947,"MULTIPLE PINS MATCH NUMERIC INQUIRY CRITERIA OR DRIVERS LICENSE INQUIRY CRITERIA","I"
948,"PINS ASSOCIATED WITH ADDRESS EXCEED MAXIMUM LIMIT","C"
999,"UNKNOWN ERROR","C"
4002,"Your account is not in good standing","C"
4003,"Forbidden","C"
8000,"EIN required","C"
8001,"EIN invalid","C"
8002,"The Permitted Entity Certificate is invalid","C"
8003,"Insufficient balance","C"
8004,"Bulk transaction: Number of submitted records exceeds maximum","C"
8100,"Input Date of Birth invalid","C"
8101,"Signature Type must be W or E","C"
8103,"Input SSN is invalid","C"
8104,"Input first name is invalid","C"
8105,"Input last name is invalid","C"
8106,"Input middle name is invalid","C"
8201,"An error occurred - your account was not decremented","R"
8202,"An error occurred - your account was not decremented","R"
8203,"An error occurred - your account was not decremented","R"
8204,"An error occurred - your account was not decremented","R"
8300,"A problem has occurred  please contact eCBSV User Support","R"
